"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
4669,US,168-983-437-748-381,2015-01-15,US 201214369330 A,2012-12-26,ETHYLENE POLYMER COMPOSITION AND SHAPED ARTICLE OF THE SAME,MITSUI CHEMICALS INC;;PRIME POLYMER CO LTD,PRIME POLYMER CO. LTD (2014-03-03);;MITSUI CHEMICALS INC (2014-03-03),3,8,C08L23/0815;;B32B27/32;;B32B2323/04;;C08J5/18;;C08J2323/08;;C08J2423/08;;C08L2203/16;;C08L2205/025;;C08L23/0815;;B32B27/32;;B32B27/327;;B32B2307/558;;B32B2307/718;;B32B2307/72;;B32B2439/00;;B32B2597/00;;C08J5/18;;C08J2323/08;;C08J2423/08;;C08L23/0807;;C08L2205/025;;C08L23/0815;;B32B27/32;;B32B27/327;;B32B2307/558;;B32B2307/718;;B32B2307/72;;B32B2439/00;;B32B2597/00;;C08J5/18;;C08J2323/08;;C08J2423/08;;C08L23/0807;;C08L2205/025,C08L23/08;;C08J5/18,525/240
4670,EP,135-247-115-673-214,2007-03-14,EP 00304659 A,2000-06-01,Sulfur-containing unsaturated carboxylate compound and its use,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2004-12-01)",3,0,C08F22/24;;C07C323/12;;C07D339/06;;C07D339/08;;C07C323/11;;C08F22/24;;C07C323/12;;C07D339/06;;C07D339/08,C07C323/11;;C07C323/12;;C07D339/06;;C07D339/08;;C08F22/24,
4671,EP,185-301-031-871-73X,2001-01-03,EP 00305435 A,2000-06-28,Olefinic thermoplastic elastomer composition and method for producing the same,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2004-12-01)",0,12,C08L23/02;;C08K5/01;;C08K5/02;;C08K5/14;;C08L23/0815;;C08L23/12;;C08L23/16;;C08L23/22;;C08L91/00;;C08L2205/02;;C08L2205/03;;C08L2207/04;;C08L2312/02;;C08L2314/06;;Y10S526/943;;C08L23/16;;C08L23/02;;C08L23/10;;C08L23/02;;C08K5/01;;C08K5/02;;C08K5/14;;C08L23/0815;;C08L23/12;;C08L23/16;;C08L23/22;;C08L91/00;;C08L2205/02;;C08L2205/03;;C08L2207/04;;C08L2312/02;;C08L2314/06;;Y10S526/943,C08L23/02;;C08L23/08;;C08L23/10;;C08L23/12;;C08L23/16;;C08L23/22,
4672,EP,034-673-333-640-891,2015-02-25,EP 08863387 A,2008-11-28,"RESIN COMPOSITION, TRANSPARENT MEMBER OBTAINED FROM THE RESIN COMPOSITION, AND USE OF THE SAME",MITSUI CHEMICALS INC,,6,0,C08F2/44;;B82Y30/00;;C08G18/3876;;C08G18/7642;;C08J5/005;;C08K9/04;;C08K9/08;;C08F2/44;;B82Y30/00;;C08G18/3876;;C08G18/7642;;C08J5/005;;C08K9/04;;C08K9/08,C08L101/00;;C08F2/44;;C08J5/00;;C08K9/04;;G02B1/04,
4673,EP,198-907-315-593-40X,2014-05-14,EP 12807606 A,2012-07-04,"MOLDED ARTICLE, MOLDING MATERIAL, OPTICAL COMPONENT, AND METHOD FOR PRODUCING MOLDING MATERIAL",MITSUI CHEMICALS INC,,0,0,G02B1/04;;C08F210/02;;C08F232/00;;G02B6/0065;;G02B13/0005;;G02B1/04;;C08F210/02;;C08F232/00;;G02B6/0065;;G02B13/0005,G02B1/04;;C08F210/00;;C08F232/00,
4674,US,179-648-885-076-233,2015-11-19,US 201314441954 A,2013-11-12,"SEMIAROMATIC POLYAMIDE, SEMIAROMATIC POLYAMIDE RESIN COMPOSITION, AND MOLDED ARTICLE",MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2014-12-22),2,10,C08L77/06;;C08F255/00;;C08G69/265;;C08G69/28;;C08K3/16;;C08K5/005;;C08K7/14;;C08L51/06;;C08G69/26;;C08F255/00;;C08G69/265;;C08G69/28;;C08K3/16;;C08K5/005;;C08K7/14;;C08L23/0815;;C08L33/14;;C08L51/06;;C08L77/06,C08G69/26;;C08K7/14;;C08L23/08;;C08L33/14;;C08L77/06,
4675,US,005-482-248-381-828,2003-02-04,US 76375401 A,2001-02-27,"Comb-shaped diol, water-soluble polyurethane, and application thereof",MITSUI CHEMICALS INC,MITSUI CHEMICALS INC. (2001-01-18);;MITSUI TAKEDA CHEMICALS INC (2004-06-22),12,23,C08G65/2624;;A61K8/87;;A61K2800/54;;A61Q5/00;;A61Q5/02;;A61Q5/06;;A61Q5/12;;C04B24/282;;C04B24/32;;C04B28/02;;C04B35/634;;C04B35/63456;;C04B35/63488;;C04B2103/0053;;C04B2103/006;;C04B2103/44;;C04B2111/00129;;C04B2111/74;;C07C217/28;;C07C217/50;;C08G18/3275;;C08G18/5021;;C08G18/6688;;C08G65/2609;;C08G18/50;;C08G65/2624;;A61K8/87;;A61K2800/54;;A61Q5/00;;A61Q5/02;;A61Q5/06;;A61Q5/12;;C04B24/282;;C04B24/32;;C04B28/02;;C04B35/634;;C04B35/63456;;C04B35/63488;;C04B2103/0053;;C04B2103/006;;C04B2103/44;;C04B2111/00129;;C04B2111/74;;C07C217/28;;C07C217/50;;C08G18/3275;;C08G18/5021;;C08G18/6688;;C08G65/2609,A61K8/87;;A61Q5/00;;C04B24/28;;C04B24/32;;C04B28/02;;C04B35/634;;C07C217/28;;C07C217/50;;C08G18/32;;C08G18/50;;C08G18/66;;C08G65/26,524/44;;568/704
4676,US,177-434-971-153-761,2021-02-09,US 201615755297 A,2016-09-01,"Buffer material, buffer material for coating robot, robot with buffer material, and coating robot with buffer material",MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2018-01-12),27,0,B32B27/40;;C08J9/34;;B32B5/18;;C08G18/00;;C08J9/365;;C08J2207/04;;C08J2375/04;;C08J2475/04;;B32B27/40;;B32B5/18;;B32B5/32;;B32B27/065;;B32B2250/02;;B32B2553/02;;C08G18/00;;C08J9/34;;C08J9/365;;C08J2207/04;;C08J2375/04;;C08J2475/04;;C08L75/04;;C08L2203/14;;C08L2205/025;;C09D175/04,C08J9/34;;B32B5/18;;B32B5/32;;B32B27/06;;B32B27/40;;C08G18/00;;C08J9/36;;C08L75/04;;C09D175/04,
4677,US,006-860-229-296-574,2018-05-03,US 201715854893 A,2017-12-27,COMPOSITION FOR ENHANCING PLANT DISEASE CONTROL EFFECT OF MONOSACCHARIDES,MITSUI CHEMICALS AGRO INC;;UNIV KAGAWA NAT UNIV CORP,MITSUI CHEMICALS CROP & LIFE SOLUTIONS INC (2015-07-24);;NATIONAL UNIVERSITY CORPORATION KAGAWA UNIVERSITY (2015-07-24),3,0,A01N25/00;;A01N25/30;;A01N35/02;;A01N25/30;;A01N25/30;;A01N43/08,A01N25/30;;A01N35/02;;A01N43/08;;A01N43/16,
4678,EP,029-393-973-599-164,1999-04-07,EP 94101317 A,1994-01-28,Cycloolefin polymer composition,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (1998-07-22)",3,1,C08G61/08;;C08F4/65912;;C08L65/00;;Y10S525/932;;C08L45/00;;C08G61/08;;C08G61/08;;C08F4/65912;;C08L65/00;;Y10S525/932,C08F255/02;;C08F255/00;;C08G61/08;;C08L23/02;;C08L45/00;;C08L51/00;;C08L51/06;;C08L65/00,
4679,EP,167-104-753-201-513,2021-02-17,EP 19777425 A,2019-03-27,"EXTERNAL STIMULUS APPLICATION SYSTEM, EXTERNAL STIMULUS CONDITION DETERMINATION SYSTEM, EXTERNAL STIMULUS CONDITION DETERMINATION SUPPORT SERVER, AND DATA STRUCTURE",MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2023-05-03)",0,2,A61B5/112;;A61B2505/09;;A61B5/1123;;A61B5/4872;;A61B5/7455;;A61B2562/0219;;A61B5/6828;;A61H2201/5097;;A61H2201/5012;;A61H2201/5084;;A61H2205/102;;A61H2201/5069;;A61H2201/1215;;A61H2201/165;;A61H2230/605;;A61H2201/164;;A61B5/02055;;A61N1/0452;;A61N1/36003;;A61N1/36031;;G16H40/63;;G16H20/30;;G16H20/40;;A61N1/36031;;A61N1/0452;;A61N1/36003,A61H3/00;;A61H23/02;;A61N1/08;;A61N1/18,
4680,EP,165-622-621-742-307,2014-06-04,EP 12817644 A,2012-07-23,"COMPOSITION FOR POLYURETHANE FOAM, PREPARATION FOR POLYURETHANE FOAM, POLYMER POLYOL PREPARATION FOR POLYURETHANE FOAM, METHODS FOR PRODUCING THESE, AND POLYURETHANE FOAM",MITSUI CHEMICALS INC,,0,0,C08L71/02;;C08G18/3206;;C08G18/3271;;C08G18/4072;;C08G18/4841;;C08G18/632;;C08G18/667;;C08G18/6677;;C08G18/7621;;C08G18/7664;;C08G65/2675;;C08G2110/0008;;C08G2110/0083;;C08J9/0023;;C08J9/0028;;C08J9/0033;;C08J9/0038;;C08J9/0061;;C08J9/02;;C08J9/122;;C08J9/38;;C08J2201/022;;C08J2203/06;;C08J2203/08;;C08J2205/05;;C08J2205/06;;C08J2375/08;;C08J2425/12;;C08J2433/20;;C08K5/5399;;C08G18/3203;;C08G18/14;;C08G18/3206;;C08G18/3271;;C08G18/4072;;C08G18/4841;;C08G18/632;;C08G18/667;;C08G18/6677;;C08G18/7621;;C08G18/7664;;C08G65/2675;;C08G2110/0008;;C08G2110/0083;;C08J9/0023;;C08J9/0028;;C08J9/0033;;C08J9/0038;;C08J9/0061;;C08J9/02;;C08J9/122;;C08J9/38;;C08J2201/022;;C08J2203/06;;C08J2203/08;;C08J2205/05;;C08J2205/06;;C08J2375/08;;C08J2425/12;;C08J2433/20;;C08L71/02,C08L71/02;;C08G18/32;;C08G18/40;;C08G18/48;;C08G18/63;;C08G18/66;;C08G18/76;;C08G65/26;;C08G101/00;;C08J9/00;;C08J9/02;;C08J9/12;;C08J9/38;;C08K5/09;;C08K5/13;;C08K5/5399;;C08L101/00,
4681,US,014-554-368-573-150,2013-05-28,US 201013502789 A,2010-10-15,Method for purifying polymer and polymer,SUNAGA TADAHIRO;;OKAWA YUICHI;;MIZUTANI HIROKI;;MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2012-02-09),14,0,C08G61/08;;C08G2261/3324;;C08G2261/418;;C08G2261/712;;C08G61/08;;C08F6/16;;C08F32/08;;C08G61/08;;C08G2261/3324;;C08G2261/418;;C08G2261/712,C08F10/00;;C08G64/00,526/282
4682,US,025-081-046-523-523,2002-10-01,US 58346900 A,2000-05-31,Sulfur-containing unsaturated carboxylate compound and its cured products,MITSUI CHEMICALS INC,MITSUI CHEMICALS INCORPORATED (2000-09-13),12,33,C08F22/24;;C07C323/12;;C07D339/06;;C07D339/08;;C07C323/11;;C08F22/24;;C07C323/12;;C07D339/06;;C07D339/08,C07C323/11;;C07C323/12;;C07D339/06;;C07D339/08;;C08F22/24,526/259;;526/260;;526/284;;526/286;;526/289;;526/296;;526/256;;548/150;;548/159;;548/160;;548/201;;548/215;;548/217;;549/19;;549/20;;549/22;;549/35;;549/39;;549/79;;560/201;;560/195;;560/196;;560/205;;560/220;;560/221;;560/222;;560/224
4683,US,057-284-914-249-722,2024-04-16,US 201917043757 A,2019-03-27,"External stimulus application system, external stimulus condition determination system, and external stimulus condition determination support server",MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2020-08-27),17,0,A61B5/112;;A61B2505/09;;A61B5/1123;;A61B5/4872;;A61B5/7455;;A61B2562/0219;;A61B5/6828;;A61H2201/5097;;A61H2201/5012;;A61H2201/5084;;A61H2205/102;;A61H2201/5069;;A61H2201/1215;;A61H2201/165;;A61H2230/605;;A61H2201/164;;A61B5/02055;;A61N1/0452;;A61N1/36003;;A61N1/36031;;G16H40/63;;G16H20/30;;G16H20/40;;A61N1/36031;;A61N1/0452;;A61N1/36003,A61N1/36;;A61N1/04,
4684,EP,085-349-200-884-839,2012-05-09,EP 10794168 A,2010-06-30,ORGANOMETALLIC COMPOUNDS AND PROCESS FOR PREPARATION THEREOF,MITSUI CHEMICALS INC,,0,9,C07F3/06;;C07F7/1804;;C08F10/00;;C07F3/06;;C07F3/02;;C07F5/06;;C08F2/38;;C07F3/06;;C07F7/1804;;C08F10/00,C07F3/06;;C07F3/02;;C07F5/00;;C07F5/06;;C08F2/38,
4685,EP,068-010-772-932-323,2013-06-19,EP 11816239 A,2011-08-10,"PLASTIC POLARIZING LENS, METHOD FOR PRODUCING SAME, AND POLARIZING FILM",MITSUI CHEMICALS INC,"HOPNIC LABORATORY CO., LTD., SABAE-SHI, JP (2022-09-09)",0,2,C09B47/00;;B29C33/10;;B29C39/10;;B29C39/12;;B29K2075/00;;B29K2995/0034;;G02B1/041;;G02B5/3033;;G02B2207/113;;G02B1/08;;B29C33/10;;B29C39/10;;B29C39/12;;C09B47/00;;G02B1/041;;G02B5/3033;;G02B1/08;;B29C33/10;;B29C39/10;;B29C39/12;;B29K2075/00;;B29K2995/0034;;C09B47/00;;G02B1/041;;G02B5/3033;;G02B2207/113,G02C7/12;;B29C39/10;;B29C39/12;;B29C55/04;;B29L11/00;;C09B47/00;;G02B5/30,
4686,US,111-336-748-225-976,2016-02-11,US 201414775132 A,2014-03-10,COMPOSITION FOR ENHANCING PLANT DISEASE CONTROL EFFECT OF MONOSACCHARIDE,MITSUI CHEMICALS AGRO INC;;UNIV KAGAWA NAT UNIV CORP,MITSUI CHEMICALS CROP & LIFE SOLUTIONS INC (2015-07-24);;NATIONAL UNIVERSITY CORPORATION KAGAWA UNIVERSITY (2015-07-24),0,5,A01N25/00;;A01N25/30;;A01N35/02;;A01N25/30;;A01N25/30;;A01N43/08,A01N25/30;;A01N43/08,
4687,US,118-364-599-906-614,2021-05-13,US 201917043757 A,2019-03-27,"EXTERNAL STIMULUS APPLICATION SYSTEM, EXTERNAL STIMULUS CONDITION DETERMINATION SYSTEM, AND EXTERNAL STIMULUS CONDITION DETERMINATION SUPPORT SERVER",MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2020-08-27),3,3,A61B5/112;;A61B2505/09;;A61B5/1123;;A61B5/4872;;A61B5/7455;;A61B2562/0219;;A61B5/6828;;A61H2201/5097;;A61H2201/5012;;A61H2201/5084;;A61H2205/102;;A61H2201/5069;;A61H2201/1215;;A61H2201/165;;A61H2230/605;;A61H2201/164;;A61B5/02055;;A61N1/0452;;A61N1/36003;;A61N1/36031;;G16H40/63;;G16H20/30;;G16H20/40;;A61N1/36031;;A61N1/0452;;A61N1/36003,A61N1/36;;A61N1/04,
4688,US,176-987-255-513-74X,2012-08-16,US 201013502789 A,2010-10-15,METHOD FOR PURIFYING POLYMER AND POLYMER,SUNAGA TADAHIRO;;OKAWA YUICHI;;MIZUTANI HIROKI;;MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2012-02-09),0,2,C08G61/08;;C08G2261/3324;;C08G2261/418;;C08G2261/712;;C08G61/08;;C08F6/16;;C08F32/08;;C08G61/08;;C08G2261/3324;;C08G2261/418;;C08G2261/712,C08F6/06;;C08F216/14;;C08F216/38;;C08F236/20,526/282
4689,US,003-431-517-272-425,2015-07-21,US 201113813312 A,2011-08-10,"Plastic polarized lens, method for producing the same, and polarized film",RYU AKINORI;;KOBAYASHI SEIICHI;;KAMIO HIROYUKI;;KOBAYASHI YOSHIHARU;;SAKAI MITSURU;;AIISO YOSHIMITSU;;MITSUI CHEMICALS INC,HOPNIC LABORATORY CO. LTD (2022-08-19);;MITSUI CHEMICALS INC (2012-11-13),16,1,C09B47/00;;B29C33/10;;B29C39/10;;B29C39/12;;B29K2075/00;;B29K2995/0034;;G02B1/041;;G02B5/3033;;G02B2207/113;;G02B1/08;;B29C33/10;;B29C39/10;;B29C39/12;;C09B47/00;;G02B1/041;;G02B5/3033;;G02B1/08;;B29C33/10;;B29C39/10;;B29C39/12;;B29K2075/00;;B29K2995/0034;;C09B47/00;;G02B1/041;;G02B5/3033;;G02B2207/113,G02B1/08;;B29C33/10;;B29C39/10;;B29C39/12;;B29D11/00;;B29K75/00;;C09B47/00;;G02B1/04;;G02B5/30,
4690,US,163-407-894-378-315,2018-01-09,US 201414775132 A,2014-03-10,Composition for enhancing plant disease control effect of monosaccharide,MITSUI CHEMICALS AGRO INC;;UNIV KAGAWA NAT UNIV CORP,MITSUI CHEMICALS CROP & LIFE SOLUTIONS INC (2015-07-24);;NATIONAL UNIVERSITY CORPORATION KAGAWA UNIVERSITY (2015-07-24),15,0,A01N25/00;;A01N25/30;;A01N35/02;;A01N25/30;;A01N25/30;;A01N43/08,A01N25/30;;A01N43/08,
4691,EP,180-173-432-802-190,2003-06-25,EP 97300995 A,1997-02-17,Phosphazenium salt and preparation process thereof,MITSUI CHEMICALS INC,"MITSUI CHEMICALS & SKC POLYURETHANES INC., JP (2016-08-25);;MITSUI CHEMICALS, INC. (1998-08-12);;MITSUI CHEMICALS & SKC POLYURETHANES INC.; JP (2016-08-10)",2,1,C07F9/065;;C07F9/067;;C08G65/2675;;C07F9/06;;C07F9/065;;C07F9/067;;C08G65/2675,C07F9/06;;C08G65/26;;C08G65/28,
4692,EP,054-332-090-732-942,2018-07-11,EP 16841939 A,2016-09-01,"SHOCK-ABSORBING MEMBER, SHOCK-ABSORBING MEMBER FOR AUTOMATIC MOVEMENT DEVICE FOR PAINTING, AUTOMATIC MOVEMENT DEVICE WITH SHOCK-ABSORBING MEMBER, AND AUTOMATIC MOVEMENT DEVICE FOR PAINTING WITH SHOCK-ABSORBING MEMBER",MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2023-05-03)",0,0,B32B27/40;;C08J9/34;;B32B5/18;;C08G18/00;;C08J9/365;;C08J2207/04;;C08J2375/04;;C08J2475/04;;B32B27/40;;B32B5/18;;B32B5/32;;B32B27/065;;B32B2250/02;;B32B2553/02;;C08G18/00;;C08J9/34;;C08J9/365;;C08J2207/04;;C08J2375/04;;C08J2475/04;;C08L75/04;;C08L2203/14;;C08L2205/025;;C09D175/04,C08G18/00;;B32B5/18;;B32B27/40;;C08G101/00,
4693,US,073-767-237-450-045,2015-12-08,US 201113823156 A,2011-10-04,Cyclic olefin copolymer and crosslinked polymer thereof,YOSHIDA YASUNORI;;UNEZAKI TAKASHI;;MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2012-11-22),13,9,C08F236/20;;C08F8/00;;C08F210/18;;C08F2810/20;;C08F210/00;;C08F4/65;;C08F8/00;;C08F232/00;;C08F236/20;;C08F8/00;;C08F210/18;;C08F2810/20,C08F236/20;;C08F210/18,
4694,EP,003-291-493-817-918,2011-01-26,EP 09732347 A,2009-04-16,"GAS BARRIER COMPOSITION, COATING FILM, METHOD FOR PRODUCING THE GAS BARRIER COMPOSITION, METHOD FOR PRODUCING THE COATING FILM, AND MULTILAYER BODY",MITSUI CHEMICALS INC,,0,1,C08L29/04;;C08K3/22;;C08K5/057;;C08K5/5415;;C08K5/544;;C08K2201/008;;C08L33/02;;C09D1/04;;C09D7/61;;C09D7/67;;C09D133/066;;Y10T428/31663;;C08L101/14;;B32B27/08;;C08K13/02;;C08L29/04;;B32B2307/7244;;C08K3/22;;C08K5/057;;C08K5/544;;C08K2201/008;;C08L33/02;;C09D1/04;;C09D7/61;;C09D7/67;;C09D133/066;;Y10T428/31663,C08L101/14;;B32B9/00;;B32B27/30;;C08K3/00;;C08K3/22;;C08K5/00;;C08K5/057;;C08K5/544;;C08L1/00;;C08L3/00;;C08L29/04;;C08L33/02;;C09D7/61;;C09D201/06,
4695,EP,113-027-529-739-145,2014-11-05,EP 12861716 A,2012-12-26,"ETHYLENE-BASED POLYMER COMPOSITION, AND MOLDED BODY OBTAINED FROM SAME",MITSUI CHEMICALS INC;;PRIME POLYMER CO LTD,,0,2,C08L23/0815;;B32B27/32;;B32B2323/04;;C08J5/18;;C08J2323/08;;C08J2423/08;;C08L2203/16;;C08L2205/025;;C08L23/0815;;B32B27/32;;B32B27/327;;B32B2307/558;;B32B2307/718;;B32B2307/72;;B32B2439/00;;B32B2597/00;;C08J5/18;;C08J2323/08;;C08J2423/08;;C08L23/0807;;C08L2205/025;;C08L23/0815;;B32B27/32;;B32B27/327;;B32B2307/558;;B32B2307/718;;B32B2307/72;;B32B2439/00;;B32B2597/00;;C08J5/18;;C08J2323/08;;C08J2423/08;;C08L23/0807;;C08L2205/025,C08L23/08;;B32B27/32;;C08J5/18;;C08L101/00,
4696,US,162-996-065-405-162,2013-06-20,US 201113813312 A,2011-08-10,"PLASTIC POLARIZED LENS, METHOD FOR PRODUCING THE SAME, AND POLARIZED FILM",RYU AKINORI;;KOBAYASHI SEIICHI;;KAMIO HIROYUKI;;KOBAYASHI YOSHIHARU;;SAKAI MITSURU;;AIISO YOSHIMITSU;;MITSUI CHEMICALS INC,HOPNIC LABORATORY CO. LTD (2022-08-19);;MITSUI CHEMICALS INC (2012-11-13),2,24,C09B47/00;;B29C33/10;;B29C39/10;;B29C39/12;;B29K2075/00;;B29K2995/0034;;G02B1/041;;G02B5/3033;;G02B2207/113;;G02B1/08;;B29C33/10;;B29C39/10;;B29C39/12;;C09B47/00;;G02B1/041;;G02B5/3033;;G02B1/08;;B29C33/10;;B29C39/10;;B29C39/12;;B29K2075/00;;B29K2995/0034;;C09B47/00;;G02B1/041;;G02B5/3033;;G02B2207/113,G02B1/08,359/487.02;;264/1.32
4697,US,089-779-002-711-772,2013-07-11,US 201113823156 A,2011-10-04,CYCLIC OLEFIN COPOLYMER AND CROSSLINKED POLYMER THEREOF,YOSHIDA YASUNORI;;UNEZAKI TAKASHI;;MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2012-11-22),0,2,C08F236/20;;C08F8/00;;C08F210/18;;C08F2810/20;;C08F210/00;;C08F4/65;;C08F8/00;;C08F232/00;;C08F236/20;;C08F8/00;;C08F210/18;;C08F2810/20,C08F236/20,524/554;;526/282;;526/169.3;;525/55
4698,EP,167-319-373-272-81X,2017-08-23,EP 12861716 A,2012-12-26,"ETHYLENE-BASED POLYMER COMPOSITION, AND MOLDED BODY OBTAINED FROM SAME",MITSUI CHEMICALS INC;;PRIME POLYMER CO LTD,,8,0,C08L23/0815;;B32B27/32;;B32B2323/04;;C08J5/18;;C08J2323/08;;C08J2423/08;;C08L2203/16;;C08L2205/025;;C08L23/0815;;B32B27/32;;B32B27/327;;B32B2307/558;;B32B2307/718;;B32B2307/72;;B32B2439/00;;B32B2597/00;;C08J5/18;;C08J2323/08;;C08J2423/08;;C08L23/0807;;C08L2205/025;;C08L23/0815;;B32B27/32;;B32B27/327;;B32B2307/558;;B32B2307/718;;B32B2307/72;;B32B2439/00;;B32B2597/00;;C08J5/18;;C08J2323/08;;C08J2423/08;;C08L23/0807;;C08L2205/025,C08L23/08;;B32B27/32;;C08J5/18;;C08L101/00,
4699,US,062-049-915-750-077,2020-05-05,US 201715854893 A,2017-12-27,Composition for enhancing plant disease control effect of monosaccharides,MITSUI CHEMICALS AGRO INC;;UNIV KAGAWA NAT UNIV CORP,MITSUI CHEMICALS CROP & LIFE SOLUTIONS INC (2015-07-24);;NATIONAL UNIVERSITY CORPORATION KAGAWA UNIVERSITY (2015-07-24),21,3,A01N25/00;;A01N25/30;;A01N35/02;;A01N25/30;;A01N25/30;;A01N43/08,A01N25/30;;A01N43/08,
4700,EP,057-323-282-069-81X,2017-10-25,EP 10794168 A,2010-06-30,ORGANOMETALLIC COMPOUNDS AND PROCESS FOR PREPARATION THEREOF,MITSUI CHEMICALS INC,,3,0,C07F3/06;;C07F7/1804;;C08F10/00;;C07F3/06;;C07F3/02;;C07F5/06;;C08F2/38;;C07F3/06;;C07F7/1804;;C08F10/00,C07F3/06;;C07F3/02;;C07F5/00;;C07F5/06;;C08F2/38,
4701,US,116-413-842-515-679,2011-02-10,US 93773309 A,2009-04-16,"GAS-BARRIER COMPOSITION, COATING FILM, PROCESS FOR PRODUCING THE SAME, AND LAYERED MATERIAL",MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2010-09-14),2,9,C08L29/04;;C08K3/22;;C08K5/057;;C08K5/5415;;C08K5/544;;C08K2201/008;;C08L33/02;;C09D1/04;;C09D7/61;;C09D7/67;;C09D133/066;;Y10T428/31663;;C08L101/14;;B32B27/08;;C08K13/02;;C08L29/04;;B32B2307/7244;;C08K3/22;;C08K5/057;;C08K5/544;;C08K2201/008;;C08L33/02;;C09D1/04;;C09D7/61;;C09D7/67;;C09D133/066;;Y10T428/31663,B32B27/08;;B32B27/20;;C08K5/22;;C09D7/61,428/447;;524/261
4702,US,148-096-947-125-241,2012-04-26,US 201013379779 A,2010-06-30,ORGANOMETALLIC COMPOUND AND PRODUCTION METHOD THEREOF,OCHIAI TAKASHI;;MAKIO HARUYUKI;;MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2011-12-01),0,4,C07F3/06;;C07F7/1804;;C08F10/00;;C07F3/06;;C07F3/02;;C07F5/06;;C08F2/38;;C07F3/06;;C07F7/1804;;C08F10/00,C07F3/06;;C07F5/06;;C07F19/00,556/9;;556/129;;556/178;;556/121
4703,US,096-832-726-839-601,2018-09-13,US 201615755297 A,2016-09-01,"BUFFER MATERIAL, BUFFER MATERIAL FOR COATING ROBOT, ROBOT WITH BUFFER MATERIAL, AND COATING ROBOT WITH BUFFER MATERIAL",MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2018-01-12),5,1,B32B27/40;;C08J9/34;;B32B5/18;;C08G18/00;;C08J9/365;;C08J2207/04;;C08J2375/04;;C08J2475/04;;B32B27/40;;B32B5/18;;B32B5/32;;B32B27/065;;B32B2250/02;;B32B2553/02;;C08G18/00;;C08J9/34;;C08J9/365;;C08J2207/04;;C08J2375/04;;C08J2475/04;;C08L75/04;;C08L2203/14;;C08L2205/025;;C09D175/04,B32B27/40;;B32B5/32;;B32B27/06;;C08L75/04;;C09D175/04,
4704,US,012-969-124-428-864,2014-07-29,US 201013379779 A,2010-06-30,Organometallic compound and production method thereof,OCHIAI TAKASHI;;MAKIO HARUYUKI;;MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2011-12-01),35,9,C07F3/06;;C07F7/1804;;C08F10/00;;C07F3/06;;C07F3/02;;C07F5/06;;C08F2/38;;C07F3/06;;C07F7/1804;;C08F10/00,C07F3/00;;C07F5/00;;C07F7/18;;C08F4/44;;C08F4/52,556/1;;556/9;;556/121;;556/129;;556/178;;526/170;;526/176;;526/177
