"#",Lens ID,Title,Applicants
2857,084-202-112-923-516,"MODIFIED NEGATIVE ELECTRODE MATERIAL, PREPARATION METHOD THEREFOR, NEGATIVE ELECTRODE PLATE, SECONDARY BATTERY, AND ELECTRICAL DEVICE",CONTEMPORARY AMPEREX TECHNOLOGY (HONG KONG) LIMITED
2858,025-662-830-629-116,HOT MELT ADHESIVES BASED ON BLENDS COMPRISING NON-FUNCTIONALIZED AND FUNCTIONALIZED POLYOLEFINS,SABIC GLOBAL TECHNOLOGIES BV
2859,099-314-031-842-90X,METHOD FOR TREATING WASTEWATER HAVING AN ORGANIC CONTENT,BASF SE
2860,135-184-711-204-830,SOLID SECONDARY BATTERY AND METHOD OF PREPARING THE SAME,SAMSUNG SDI CO LTD
2861,179-678-684-659-229,PANELS WITH LAYERED STRUCTURE,COVESTRO NETHERLANDS BV
2862,162-485-720-605-036,ANTIMICROBIAL SYSTEM WITH INDOLE ALKALOID AND PHENOLIC ACID AND COMPOSITIONS COMPRISING THEM,CONOPCO INC DBA UNILEVER
2863,042-442-618-613-733,"PRODUCTION METHOD FOR PRINTED MATTER, AND ACTINIC-RAY-CURABLE INK",TORAY INDUSTRIES
2864,051-778-038-586-172,INFLATABLE COMPRESSION DEVICE,MERIT MEDICAL SYSTEMS INC
2865,114-315-405-626-58X,METHODS OF RECYCLING ABS WASTE,POLYSTYVERT INC
2866,163-694-279-042-670,Child-resistant container assembly,CLOSURE SYSTEMS INT INC
2867,107-399-554-233-197,Eco-friendly sorbent material for removing oil,KANGWON NATIONAL UNIV UNIVERSITY INDUSTRY COOPERATION FOUNDATION;;DAEHAN PAPER CO LTD;;TAEKYUNG POLYMER CO LTD;;CENTRE TECHNIQUE DE LINDUSTRIE DES PAPIERS CARTONS ET CELLULOSES
2868,164-483-522-169-505,METHOD OF FOAMING AN INJECTION MOLDED PRECURSOR,NIKE INNOVATE CV
2869,045-803-267-510-897,Environmental control system utilizing an anion conducting membrane,"FFI IONIX IP, INC."
2870,133-538-475-637-919,Secondary battery,SAMSUNG SDI CO LTD
2871,090-001-394-873-583,"RESIN COMPOSITION FOR OPTICAL FIBER COATING, COLORED COATING MATERIAL FOR OPTICAL FIBER, OPTICAL FIBER, AND OPTICAL FIBER RIBBON",SUMITOMO ELECTRIC INDUSTRIES
2872,196-279-909-447-744,"SENSOR FOR MAGNETIC RESONANCE IMAGING SYSTEM, AND ASSOCIATED SYSTEM AND EXAMINATION TUNNEL",CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS);;UNIVERSITE CLAUDE BERNARD LYON 1;;ECOLE CENTRALE DE LYON;;INSTITUT NATIONAL DES SCIENCES APPLIQUÉES DE LYON
2873,113-919-700-485-741,VARIABLE LAYER THICKNESS IN CURVED BATTERY CELL,MICROSOFT TECHNOLOGY LICENSING LLC
2874,062-276-216-169-275,DEPOLYMERIZATION UTILIZING A CONTINUOUS BACK-MIXED REACTOR,DOW GLOBAL TECHNOLOGIES LLC
2875,109-550-279-428-732,ELECTROMAGNETIC PYROLYSIS APPARATUS AND A METHOD OF USE THEREOF TO RECYCLE WASTE MATERIALS TO OBTAIN SEPARATED HYDROCARBON CHEMICAL COMPONENTS,SYLATECH LTD
2876,157-963-050-688-567,"METHOD AND SENSOR FOR DETECTION OF TRIACETONE TRIPEROXIDE (TATP), DIACETONE DIPEROXIDE (DADP), HEXAMETHYLENE TRIPEROXIDE DIAMINE (HMTD) AND HYDROGEN PEROXIDE",BUNDESREPUBLIK DEUTSCHLAND VERTRETEN DURCH DEN BUNDESMINISTER FUER WIRTSCH UND ENERGIE DIESER VERTRE
2877,074-228-074-506-772,PIPERIDINIUM-CONTAINING POLYMERS,VERSOGEN INC
2878,040-886-215-067-55X,CARBON CAPTURE COMPOSITE MATERIALS,XINTERRA PTE LTD
2879,010-836-605-040-156,Device for selective regionalization of pulmonary aeration to the posterolateral part of the lungs,INST NAT SANTE RECH MED;;ASSIST PUBLIQUE —HOPITAUX DE PARIS;;UNIV PARIS VAL DE MARNE;;ASSIST PUBLIQUE—HOPITAUX DE PARIS
2880,063-275-217-249-770,"SHEET LAMINATE, METHOD FOR MANUFACTURING GAS SUPPLY BODY, GAS SUPPLY BODY, SUPPLY BODY UNIT, AND WASTEWATER TREATMENT DEVICE",SEKISUI CHEMICAL CO LTD
2881,197-562-548-424-220,Long gun storage,Kevin G. Kinsella
2882,132-730-493-512-443,Waterborne coating compositions,BASF SE
2883,181-572-074-217-745,"Magnesium-containing electrode, method for fabricating the same, and electrochemical device",MURATA MFG CO LTD
2884,124-300-147-903-847,ABSORBENT ARTICLE,NIPPON CATALYTIC CHEM IND
2885,086-520-605-356-288,SURGICAL ANVIL ASSEMBLIES FOR SURGICAL STAPLING INSTRUMENTS,COVIDIEN LP
2886,010-606-181-510-404,Toner,CANON KK
2887,132-127-025-946-201,FLUID DISTRIBUTION JUNCTIONS AND ASSEMBLY METHODS,SANISURE INC
2888,082-231-482-627-714,"POSITIVE ELECTRODE ACTIVE MATERIAL, PREPARATION METHOD, SECONDARY BATTERY, AND ELECTRICAL DEVICE",CONTEMPORARY AMPEREX TECHNOLOGY (HONG KONG) LIMITED
2889,037-807-684-881-38X,OXYGEN SCAVENGER SYRINGE CAP,FRESENIUS KABI USA LLC
2890,156-003-158-766-139,SPINEL MATERIALS WITH CONTROLLED ATOMIC STRUCTURE AS ELECTROACTIVE MATERIALS,FUNDACION CENTRO DE INVESTIG COOPERATIVA DE ENERGIAS ALTERNATIVAS CIC ENERGIGUNE FUNDAZIOA
2891,094-249-338-398-110,DUAL CURE ISOCYANATE INKJET COMPOSITION,ALTANA NEW TECH GMBH
2892,109-821-994-553-411,DURABLE BOTTOM-DISPENSING CONTAINERS,PROCTER & GAMBLE
2893,020-367-970-539-303,"ABA TRIBLOCK POLYMER, COMPOSITION, SURFACE TREATMENT AGENT, ARTICLE, AND METHOD FOR MANUFACTURING ARTICLE",AGC INC
2894,013-948-989-210-577,"PANEL, COMPOSITION FOR FORMING A COATING LAYER, AND METHOD OF MANUFACTURING A PANEL",CFL HOLDING LTD;;BAERT THOMAS LUC MARTINE
2895,080-566-660-432-402,BI-POLYMER THERMOPLASTIC,DYKSTERHOUSE JOEL A
2896,107-523-107-151-232,METHODS TO MANUFACTURE A BUILDING PANEL WITH BEVEL,VAELINGE INNOVATION AB
2897,078-565-506-019-39X,"Process for the production of 1,4-butanediol from renewable sources and polyesters obtained therefrom",NOVAMONT SPA
2898,017-333-292-908-638,"Secondary battery, battery module, battery pack, and electrical device",CONTEMPORARY AMPEREX TECHNOLOGY HONG KONG LTD
2899,173-481-798-120-697,HIGH TRANSMISSION AIR FILTRATION MEDIA AND TRANSPARENT FACE MASK,3M INNOVATIVE PROPERTIES COMPANY
2900,063-204-295-138-138,"VACUUM INSULATION MATERIAL, AND THERMALLY INSULATING CONTAINER AND THERMALLY INSULATING WALL USING SAME",PANASONIC IP MAN CO LTD
2901,085-935-154-801-95X,Film capacitor,MURATA MANUFACTURING CO
2902,030-443-080-576-449,LEAD-FREE METALLIC BARRIER COATINGS FOR COPPER AND ZINC-RICH SURFACES OF SUBTERRANEAN HARDWARE AND COMPONENTS,SCHLUMBERGER TECH CORPORATION
2903,169-390-642-261-081,NONWOVEN SUBSTRATES HAVING NATURAL FIBERS AND METHODS OF MAKING THE SAME,PROCTER & GAMBLE
2904,085-523-386-834-143,PRODUCTION METHOD FOR PIGMENT AQUEOUS DISPERSION,KAO CORP
2905,087-326-949-819-079,PORTABLE CONTAINER WITH COOLING OR HEATING UNIT,EMBER TECH INC
2906,020-102-826-192-954,Continuous digital light processing additive manufacturing of implants,DEAN H DAVID;;SIBLANI AL;;MOTT ERIC J;;FISHER JOHN P;;WANG MARTHA O;;MIKOS ANTONIOS G
2907,070-446-789-278-873,ABSORBENT CORES AND METHODS OF MANUFACTURING,KIMBERLY CLARK CO
2908,088-402-578-303-273,COMPOSITIONS AND METHODS FOR TREATING INDUCED DISORDERS FOLLOWING NON-HEMORRHAGIC CLOSED HEAD INJURY,BOULDER BIOSCIENCE LLC
2909,114-255-408-466-17X,ORAL CARE IMPLEMENT,COLGATE PALMOLIVE COMPANY
2910,161-177-762-471-821,ORAL CARE IMPLEMENT,COLGATE PALMOLIVE COMPANY
2911,092-914-342-216-716,"LAMINATED BODY, HEAT-SENSITIVE LABEL, IN-MOLD LABEL AND LABELED CONTAINER",YUPO CORP
2912,054-587-551-346-126,FIBER STRUCTURE MANUFACTURING APPARATUS,SEIKO EPSON CORP
2913,181-908-024-550-757,Lithium ion conducting membranes,UCHICAGO ARGONNE LLC
2914,126-350-491-358-516,"SEPARATOR, PREPARATION METHOD THEREFOR, SECONDARY BATTERY AND POWER CONSUMING DEVICE",CONTEMPORARY AMPEREX TECHNOLOGY HONG KONG LTD
2915,105-557-570-209-179,INK JET PRINTING METHOD,CANON KK
2916,094-465-463-394-705,CYLINDRICAL SECONDARY BATTERY,SAMSUNG SDI CO LTD
2917,139-890-185-496-645,CONTAINER WITH CAP AND LOCATOR AID,AIRNOV INC
2918,021-571-749-468-002,Assembly with at least one antenna and a thermal insulation component,"W. L. Gore & Associates, Inc."
2919,019-833-960-896-593,DURABLE BOTTOM-DISPENSING CONTAINERS,PROCTER & GAMBLE
2920,116-510-097-318-134,INSTRUMENTS FOR DELIVERING TRANSFASCIAL SUTURES AND TRANSFASCIAL SUTURE ASSEMBLIES.,BARD INC C R
2921,194-455-862-925-469,OUTER PACKAGING MATERIAL FOR ALL SOLID-STATE BATTERY AND ALL SOLID-STATE BATTERY,TOPPAN HOLDINGS INC
2922,038-040-642-452-38X,"Tissue-processing container for automated processing of tissue, methods of use thereof, and systems comprising the same",AXOGEN CORP
2923,160-500-552-300-013,Clip device for endoscope,OLYMPUS MEDICAL SYSTEMS CORP
2924,033-702-213-745-406,Ultrafine fibers and liquid fiber dispersion,TORAY IND INC
2925,193-140-819-947-811,EMULSION COMPOSITIONS CONTAINING CARBOSILOXANE DENDRIMER COMPOUND AND AQUEOUS PHASE FILM FORMER,OREAL
2926,038-119-055-684-815,Shaping liquid material in a cryostorage bag to obtain desired solid shape,BIOLIFE SOLUTIONS INC
2927,052-855-628-484-830,"SECONDARY BATTERY MIXTURE, SECONDARY BATTERY MIXTURE SHEET, SECONDARY BATTERY MIXTURE SHEET MANUFACTURING METHOD, AND SECONDARY BATTERY",DAIKIN IND LTD
2928,048-801-170-266-613,"LITHIUM NICKEL MANGANESE-CONTAINING COMPOSITE OXIDE, METHOD FOR PREPARATION THEREOF, POSITIVE ELECTRODE PLATE, SECONDARY BATTERY AND ELECTRICAL DEVICE",CONTEMPORARY AMPEREX TECHNOLOGY HONG KONG LTD
2929,179-529-867-977-044,PRODUCTION METHOD FOR LOW INCLUSION RATE POLYROTAXANE,ASM INC
2930,093-126-461-594-09X,METAL ADDITIVES FOR MANGANESE DIOXIDE CATHODES,"Energizer Brands, LLC"
2931,022-662-816-813-612,"SILICON-BASED MATERIAL AND SECONDARY BATTERY, BATTERY MODULE, BATTERY PACK AND APPARATUS RELATED THERETO",CONTEMPORARY AMPEREX TECHNOLOGY HONG KONG LTD
2932,121-193-353-857-204,DURABLE BOTTOM-DISPENSING CONTAINERS,PROCTER & GAMBLE
2933,149-396-880-821-672,POLYURETHANE DISPERSION AND INK COMPOSITION,MITSUI CHEMICALS INC
2934,031-047-558-138-280,SOLID-STATE BATTERY PACKAGING MATERIAL AND SOLID-STATE BATTERY,TOPPAN HOLDINGS INC
2935,154-092-859-910-441,TRANSFER SHEET AND WEATHER-RESISTANT ARTICLE,DAINIPPON PRINTING CO LTD
2936,074-886-326-166-095,METHODS FOR ENHANCED NUCLEIC ACID DELIVERY,CORNELL UNIVERSITY
2937,158-167-737-753-133,SETTABLE SURGICAL IMPLANTS AND THEIR PACKAGING,"Abyrx, Inc."
2938,002-980-927-807-512,WRITING INSTRUMENT,MITSUBISHI PENCIL CO
2939,008-414-224-323-062,"ADHESIVE COATING COMPOSITION FOR ELECTRICAL STEEL SHEET, ELECTRICAL STEEL SHEET LAMINATE, AND METHOD FOR MANUFACTURING ELECTRICAL STEEL SHEET PRODUCT",POSCO CO LTD
2940,182-655-496-152-814,CYLINDRICAL SECONDARY BATTERY,SAMSUNG SDI CO LTD
2941,180-734-885-216-394,"COPOLYMER FOR SUPPRESSING PROTEIN ADSORPTION, METHOD FOR PRODUCING COPOLYMER, RESIN MODIFIER, MOLDING MATERIAL, COPOLYMER-CONTAINING COMPOSITION, COATING FILM AND ARTICLE",MITSUBISHI CHEM CORP
2942,007-137-847-146-761,Embedded hydrogel contact lenses,ALCON INC
2943,149-249-642-343-003,Systems and methods for minimally invasive annuloplasty,MICRO INTERVENTIONAL DEVICES INC
2944,004-949-933-846-654,"CARBONATION PACKET, BEVERAGE CARBONATION SYSTEM AND METHOD OF CARBONATING A BEVERAGE",BONNE O INC
2945,083-535-951-979-229,"CUSHIONING LAYER FOR A MATTRESS ASSEMBLY, MATTRESS ASSEMBLY AND METHOD OF BRINGING A CUSHIONING LAYER OR A MATTRESS ASSEMBLY INTO A SHIPPING STATE",EMMA SLEEP GMBH
2946,074-612-052-763-854,CO-EXTRUDED LAMINATE FILM AND METHOD FOR THE PRODUCTION OF A CO-EXTRUDED LAMINATE FILM,NITTO DENKO CORP
2947,021-560-784-006-15X,"SEPARATOR FOR ELECTROCHEMICAL DEVICE, AND ELECTROCHEMICAL DEVICE COMPRISING SAME",LG ENERGY SOLUTION LTD
2948,195-021-185-749-215,"ELECTRODE SLURRY, ELECTRODE SHEET, PREPARATION METHOD THEREOF, SECONDARY BATTERY AND ELECTRICAL APPARATUS",CONTEMPORARY AMPEREX TECHNOLOGY (HONG KONG) LIMITED
2949,080-465-037-474-819,"BIAXIALLY ORIENTED POLYAMIDE FILM, AND LAMINATE CONTAINING BIAXIALLY ORIENTED POLYESTER FILM",TOYO BOSEKI
2950,081-702-931-753-268,Compositions for providing parenteral nutrition to pediatric patients,FRESENIUS KABI DEUTSCHLAND GMBH
2951,046-828-168-434-873,Anhydride and aromatic functionalized polyorganosiloxanes,Dow Silicones Corporation;;Dow Global Technologies LLC
2952,174-052-144-812-230,"THERMOPLASTIC ELASTOMER COMPOSITION, THERMALLY CONDUCTIVE SHEET, AND HEAT-DISSIPATING STRUCTURE",MITSUBISHI MATERIALS CORP
2953,074-843-757-881-330,CLOSURE DEVICES FOR SEALING A CONTAINER AND SYSTEMS AND METHODS FOR SEALING CONTAINERS WITH THE CLOSURE DEVICES IN PARALLEL,WEST PHARMACEUTICAL SERVICES DEUTSCHLAND GMBH & CO KG
2954,190-653-392-917-561,"POSITIVE ELECTRODE ACTIVE MATERIAL, PREPARATION METHOD, SECONDARY BATTERY AND ELECTRICAL DEVICE",CONTEMPORARY AMPEREX TECHNOLOGY CO LTD
2955,030-021-170-897-772,"NEGATIVE ELECTRODE PLATE, MANUFACTURING METHOD THEREFOR, ELECTRODE ASSEMBLY, AND SECONDARY BATTERY",CONTEMPORARY AMPEREX TECHNOLOGY HONG KONG LTD
2956,182-654-639-993-254,ECOLOGICAL SOLVENT COMPOSITION,MINAGRO SRL
2957,082-945-747-641-007,SEPARATOR FOR ELECTROCHEMICAL DEVICE AND ELECTROCHEMICAL DEVICE COMPRISING SAME,LG ENERGY SOLUTION LTD
2958,046-181-726-909-569,METHODS FOR ISOLATION AND CONCENTRATION OF EXOSOMES AND OTHER EXTRACELLULAR VESICLES,INNOVAPREP LLC
2959,089-914-234-043-231,NONWOVEN SUBSTRATES AND METHODS OF MAKING THE SAME,PROCTER & GAMBLE
2960,008-967-747-821-394,DURABLE BOTTOM-DISPENSING CONTAINERS,PROCTER & GAMBLE
2961,041-469-270-948-05X,Adhesive film having three-dimensional molded shape,3M INNOVATIVE PROPERTIES COMPANY
2962,024-812-879-619-618,"MODIFIED NEGATIVE ELECTRODE MATERIAL AND PREPARATION METHOD THEREFOR, NEGATIVE ELECTRODE PLATE, SECONDARY BATTERY AND ELECTRIC DEVICE",CONTEMPORARY AMPEREX TECHNOLOGY CO LTD
2963,170-116-234-997-27X,USE OF CELL MEMBRANE-BOUND SIGNALING FACTORS,AIVITA BIOMEDICAL INC
2964,024-691-594-404-834,COATINGS,JOTUN AS
2965,036-957-509-757-637,"SECONDARY BATTERY BINDER, SECONDARY BATTERY BINDER SHEET, PRODUCTION METHOD THEREFOR, AND SECONDARY BATTERY",DAIKIN IND LTD
2966,045-793-158-205-387,Ink Compositions,DOVER EUROPE SARL
2967,085-143-393-200-638,ANTI-STATIC BEARING HOUSE,NGI AS
2968,014-464-524-088-415,CHEMICAL SOLUTION,FUJIFILM CORP
2969,022-619-269-370-870,Aerosol-generating system and a cartridge for an aerosol-generating system having particulate filter,PHILIP MORRIS PRODUCTS SA
2970,113-287-334-202-795,LOW EMISSIVITY MATERIALS AND ASSOCIATE METHODS,NEVERFROST INC
2971,116-838-573-500-420,POLYURETHANE-BASED COMPOSITION,BOSTIK SA
2972,068-924-287-747-934,A MALE INCONTINENCE GUARD,ESSITY HYGIENE & HEALTH AB
2973,128-214-659-458-673,Backing for adhesive tape with thermal resistance,3M INNOVATIVE PROPERTIES COMPANY
2974,196-393-262-041-629,ELECTRODE BODY AND POWER STORAGE ELEMENT,KYOCERA CORP
2975,016-815-912-490-929,SECONDARY BATTERY,SAMSUNG SDI CO LTD
2976,038-194-241-616-605,Beach Accessory Anchoring Device,THOMAS AMY
2977,132-242-717-496-823,ELECTRODE COMPRISING LITHIUM-RICH NICKEL MANGANESE OXIDES,GM GLOBAL TECH OPERATIONS LLC
2978,140-595-349-951-389,FLOOR PANEL,UNILIN BV
2979,190-555-703-518-914,Sheet body,NITTO DENKO CORP
2980,137-025-361-126-450,CATHETER ASSEMBLY,CONVATEC LTD
2981,027-386-909-183-115,RAZOR HANDLE WITH A PIVOTING PORTION,GILLETTE CO LLC
2982,045-205-368-418-627,TONER CONTAINER,CANON KK
2983,128-198-027-865-310,LITHIUM PRIMARY BATTERY,PANASONIC IP MAN CO LTD
2984,196-846-467-695-465,"COUPLING STRUCTURE BETWEEN HEADREST STAY AND CORE MEMBER, HEADREST, AND METHOD FOR MANUFACTURING THE SAME",MATSUMOTO IND CO LTD
2985,108-675-721-178-960,TWO-PART CURABLE RESIN COMPOSITION AND CURED PRODUCT THEREOF,THREE BOND CO LTD
2986,012-757-075-245-636,LINING HOSE FOR THE REHABILITATION OF FLUID-CARRYING PIPE SYSTEMS,RELINEEUROPE GMBH
2987,109-406-896-614-606,"SILICON-CARBON COMPOSITE MATERIAL, METHOD FOR PREPARING SILICON-CARBON COMPOSITE MATERIAL, NEGATIVE ELECTRODE SHEET, AND ELECTROCHEMICAL DEVICE",NINGDE AMPEREX TECHNOLOGY LTD
2988,096-680-453-613-008,"SPIRAL MEMBRANE ELEMENT, TRANSMISSION SPACER, AND MEMBRANE SEPARATION METHOD",NITTO DENKO CORP
2989,000-723-353-486-501,Lithium secondary battery,LG ENERGY SOLUTION LTD
2990,009-238-742-397-420,POWDER COATING COMPOSITION,KCC CORP
2991,062-626-860-869-448,CARTRIDGE AND QUANTIFICATION METHOD THEREOF,CREDO DIAGNOSTICS BIOMEDICAL PTE LTD
2992,076-568-228-849-924,Battery separators with cross ribs and related methods,"Daramic, LLC"
2993,073-016-494-681-728,"Clear ink, printing method, and inkjet printing apparatus",TAKAHASHI HIROAKI;;MASUDA KIMINORI;;YOSHIHARA MAYUMI;;RICOH CO LTD
2994,122-117-702-009-740,HANDHELD AEROSOL-GENERATING DEVICE WITH OPENING ELEMENT,PHILIP MORRIS PRODUCTS SA
2995,151-352-073-891-145,READY-TO-INFUSE PHENYLEPHRINE COMPOSITIONS,AMNEAL EU LTD
2996,188-764-232-543-249,Disposable wearing article,DAIO SEISHI KK
2997,100-454-431-913-242,"A METHOD AND DEVICE FOR PRODUCING A PARTICLE FOAM PART FROM FOAM PARTICLES FOR SPORTS APPAREL, SPORTS EQUIPMENT OR A BALL, A METHOD FOR CALIBRATING A PROCESS FOR PRODUCING PARTICLE FOAM PARTS FROM FOAM PARTICLES FOR SPORTS APPAREL, SPORTS EQUIPMENT OR A BALL, A PARTICLE FOAM PART FROM FOAM PARTICLES FOR SPORTS APPAREL, SPORTS EQUIPMENT OR A BALL, AND A SHOE",ADIDAS AG
2998,124-770-785-745-00X,BALLOON CATHETER AND MEDICAL ELONGATED BODY,TERUMO CORP
2999,021-913-065-865-389,Method and devices for receiving a cannula,ROCHE DIABETES CARE INC
3000,178-795-639-150-673,Motor Vehicle With a Side Door,BAYERISCHE MOTOREN WERKE AG
3001,152-766-546-398-884,Breast pump housing and flange assembly,WILLOW INNOVATIONS INC
3002,062-936-068-892-63X,PLASTIC-DEGRADING SOLUTION,INNOVAZIONE E SVILUPPO SOSTENIBILE S R L
3003,098-042-823-469-207,Hard start kit for multiple replacement applications,"AmRad Manufacturing, LLC"
3004,173-362-588-623-366,"SYRINGE OUTER CYLINDER, SYRINGE, AND PREFILLED SYRINGE",TERUMO CORP
3005,074-296-340-572-620,"Electrolyte solution, secondary battery, battery module, battery pack and electric device",CONTEMPORARY AMPEREX TECHNOLOGY HONG KONG LTD
3006,198-490-219-936-432,ELECTRICITY-STORAGE DEVICE,MUSASHI ENERGY SOLUTIONS CO LTD
3007,001-336-785-417-688,SECONDARY BATTERY,SAMSUNG SDI CO LTD
3008,103-948-856-913-773,Mounting clip for printed circuit board,CPS TECH HOLDINGS LLC
3009,185-268-336-327-83X,System for determining validity of a lateral flow test result,DELAVAL HOLDING AB
3010,113-649-114-073-448,METHOD FOR MANUFACTURING A DECOR SHEET FOR DECORATIVE PANEL,UNILIN BV
3011,076-188-251-200-029,FIBER MAT WITH CHANNELS,PROFILE PRODUCTS LLC
3012,189-132-991-242-27X,FIBER STRUCTURE MANUFACTURING APPARATUS,SEIKO EPSON CORP
3013,128-492-413-300-198,PHOTOCURABLE INKJET PRINTING INK COMPOSITION,SAKATA INX CORP
3014,025-057-703-141-948,UNDERBODY TRIM PART FOR ROAD VEHICLE,AUTONEUM MAN AG
3015,006-862-290-627-95X,HINGED POLYETHYLENE COMPONENT,SABIC GLOBAL TECHNOLOGIES BV
3016,084-383-076-782-626,LITHIUM SECONDARY BATTERY AND MANUFACTURING METHOD THEREFOR,LG ENERGY SOLUTION LTD
3017,026-806-682-308-287,"UV curable composition, and UV curable sheet using same",SOMAR CORP
3018,145-091-204-965-635,DUAL CURE ISOCYANATE INKJET COMPOSITION,ALTANA NEW TECH GMBH
3019,098-038-989-560-818,OBJECT WITH LAYERED STRUCTURE,COVESTRO NETHERLANDS BV
3020,131-388-962-053-554,POWER STORAGE DEVICE AND METHOD FOR PRODUCING POWER STORAGE DEVICE,DAINIPPON PRINTING CO LTD
3021,090-324-489-669-741,REFILL FOR HOLDING VOLATILE MATERIALS,JOHNSON & SON INC S C
3022,152-942-387-607-596,AN AEROSOL-GENERATING SYSTEM COMPRISING A TRANSDUCER,PHILIP MORRIS PRODUCTS SA
3023,050-955-090-429-287,Aerosol-generating system providing preferential evaporation of nicotine,PHILIP MORRIS PRODUCTS S A
3024,058-703-554-823-822,ELECTRODE ASSEMBLY WITH ELECTRODE TAB JOINING STRUCTURE AND SECONDARY BATTERY COMPRISING SAME,LG ENERGY SOLUTION LTD
3025,077-193-581-218-136,UNIT CELL,TOYOTA MOTOR CO LTD
3026,104-648-704-028-021,Systems and methods for de-oxygenation of a closed container,LUTZ THOMAS R;;LUTZ MICHELLE
3027,113-063-029-161-912,SECONDARY BATTERY,SAMSUNG SDI CO LTD
3028,189-219-416-097-602,TRANSPARENT GAS BARRIER FILM,TOYO BOSEKI
3029,015-995-021-737-734,CONSUMER PRODUCT,PROCTER & GAMBLE
3030,064-192-144-232-312,CELL SEPARATION APPARATUS AND CELL SEPARATION METHOD,FUJIMORI KOGYO CO
3031,046-287-901-633-084,OPTICAL FIBER CABLE,FUJIKURA LTD
3032,196-592-198-878-759,"CONTACT ARRANGEMENT, ELECTRICAL COMPONENT WITH A CONTACT ARRANGEMENT, AND ELECTRICAL DEVICE",TDK ELECTRONICS AG
3033,103-086-546-265-276,TUBE-TYPE LIQUID DISCHARGING CONTAINER,PUM TECH KOREA CO LTD
3034,172-711-223-691-274,POUCH-TYPE SECONDARY BATTERY,SK ON CO LTD
3035,103-812-557-387-854,"Powder storage apparatus, melt kneader, powder storage method, and production method for thermoplastic resin composition",SUMITOMO CHEMICAL CO
3036,156-396-279-015-77X,Hard start kit for multiple replacement applications,AMRAD MFG LLC
3037,063-670-538-530-467,ALL-PE RECYCLABLE LAMINATE WITH NANOCLAY COATING,NOVA CHEMICALS INTERNATIONAL SA
3038,127-830-466-928-563,"Motor for a ventilation device of a heating, ventilation and/or air conditioning system of a motor vehicle with a rotor and stator decoupled from a mounting base",VALEO SYSTEMES THERMIQUES
3039,054-442-346-848-808,Electrode for lithium sulphur cell,GELION TECH PTY LTD
3040,150-730-140-472-629,THIN WALLED MICROPLATE,4TITUDE LTD
3041,080-779-602-728-474,TPU BALL STRUCTURE AND MANUFACTURING METHOD THEREOF,SAN FANG CHEMICAL IND CO LTD
3042,017-281-920-176-393,Plant Pot Hanger,IWPH COMPANY
3043,113-652-931-475-436,Interior trim article for a motor vehicle,INT AUTOMOTIVE COMPONENTS GROUP GMBH
3044,036-268-010-425-824,Gold pan and method of use thereof,LANE BRENTON A
3045,054-196-020-292-917,"POLYROTAXANE, POLYMER COMPOSITION, CROSS-LINKED POLYMER COMPOSITION, AND METHOD FOR PRODUCING CROSS-LINKED POLYMER COMPOSITION",TOYODA GOSEI KK;;UNIV TOKYO
3046,129-105-234-963-010,Method to removably connect a carpet product to a surface and a double face tape for use in the method,COVESTRO NETHERLANDS BV
3047,097-399-500-516-529,FILAMENTS FOR ORAL CARE IMPLEMENTS,UNILEVER IP HOLDINGS B V;;UNILEVER GLOBAL IP LTD
3048,179-937-697-669-040,PERSONAL CLEANSING COMPOSITION,UNILEVER IP HOLDINGS B V;;UNILEVER GLOBAL IP LTD;;CONOPCO INC DBA UNILEVER
3049,060-215-400-228-771,NUCLEIC ACID CARRIERS AND THERAPEUTIC METHODS OF USE,CODE BIOTHERAPEUTICS INC
3050,020-205-884-475-209,Catalysts and methods of polymerizing,UNIV FLORIDA
3051,103-017-158-954-53X,"POSITIVE ELECTRODE ACTIVE MATERIAL, PREPARATION METHOD THEREOF, POSITIVE ELECTRODE, RECHARGEABLE LITHIUM BATTERIES AND ALL-SOLID-STATE RECHARGEABLE BATTERIES",SAMSUNG SDI CO LTD
3052,106-181-662-209-217,"ELECTRODE UNIT MANUFACTURING DEVICE, AND ELECTRODE UNIT MANUFACTURING METHOD",TOYOTA JIDOSHOKKI KK
3053,122-399-759-695-823,"ELECTROCHEMICAL DEVICE SEPARATOR, METHOD FOR MANUFACTURING SAME, AND ELECTROCHEMICAL DEVICE COMPRISING SAME",LG ENERGY SOLUTION LTD
3054,191-987-909-698-514,HOT MELT PRESSURE-SENSITIVE ADHESIVE,BOSTIK SA
3055,154-376-007-602-603,Purification of Concentrated Aqueous Hydroxide Solutions for Electrolysis,AIR PROD & CHEM
3056,049-528-086-592-469,DEGASSING MODULE AND METHOD FOR DEGASSING LIQUID,DAINIPPON INK & CHEMICALS
3057,005-611-910-561-937,"EXPANDABLE MICROBEAD, PREPARATION THEREOF, ELECTRODE PLATE AND SECONDARY BATTERY COMPRISING EXPANDABLE MICROBEAD",CONTEMPORARY AMPEREX TECHNOLOGY (HONG KONG) LIMITED
3058,023-127-734-079-997,ELECTROCHEMICAL DEVICE,PANASONIC IP MAN CO LTD
3059,098-030-709-810-83X,REFRIGERATION CYCLE DEVICE,DAIKIN IND LTD
3060,161-516-638-576-558,Refrigeration cycle apparatus,DAIKIN IND LTD
